index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
0,CCCCCCCC,114.2319999999999,284.668,171.63,408.771,569.178,26.0562,483.56,0.714,16.759,-208.016,42.469,16.894,0.16,5132.534,44.931,339.888,CCCCCCCC at 298K
1,CCCC(C)C,86.17799999999993,254.393,127.224,330.552,489.776,32.0073,364.38,0.679,-4.135,-174.634,30.401,7.993,0.127,3891.236,45.153,339.75,CCCC(C)C at 298K
2,CCC(C)(C)C,86.17799999999993,247.53,150.496,317.718,480.582,32.5192,357.89,0.679,-3.716,-180.827,28.088,4.886,0.127,3885.043,45.082,339.483,CCC(C)(C)C at 298K
3,C=CCCCC,84.16199999999994,261.479,137.698,342.112,508.755,32.9678,357.53,0.701,88.458,-42.052,31.344,7.861,0.12,3781.988,44.937,342.958,C=CCCCC at 298K
4,C/C=C/CCC,84.16199999999994,252.657,156.908,344.658,517.075,32.0435,355.68,0.696,79.482,-51.31,31.935,9.994,0.121,3772.73,44.827,342.538,C/C=C/CCC at 298K
5,C=C(C)CC,70.13499999999998,237.069,122.941,295.238,464.038,36.8274,294.76,0.681,66.491,-34.9,26.564,5.097,0.103,3151.8,44.939,342.966,C=C(C)CC at 298K
6,CC=C(C)C,70.13499999999998,239.192,146.125,307.438,473.527,36.1674,293.9,0.681,61.407,-43.024,26.784,6.817,0.103,3143.676,44.823,342.523,CC=C(C)C at 298K
7,CC(C)=C(C)C,84.16199999999994,245.458,168.46,343.596,527.595,30.3746,371.92,0.726,68.391,-68.65,32.524,6.491,0.116,3755.39,44.621,341.75,CC(C)=C(C)C at 298K
8,C=C=CC,54.09200000000001,184.881,145.081,276.314,454.35,42.8264,219.64,0.66,197.781,157.313,28.928,6.054,0.082,2464.843,45.568,352.119,C=C=CC at 298K
9,C=C=C(C)C,68.11899999999999,219.741,185.227,309.541,492.174,37.1416,291.08,0.668,197.117,120.066,25.09,8.225,0.102,3064.936,44.994,348.479,C=C=C(C)C at 298K
10,CC=C=CC,68.11899999999999,219.741,106.966,148.064,155.873,52.4859,142.66,0.674,-32.732,-93.126,25.09,1.208,0.101,2851.744,41.864,336.139,CC=C=CC at 298K
11,C#CCCC,68.11899999999999,266.105,181.472,318.012,487.158,42.2723,273.43,0.71,214.325,145.768,28.025,3.735,0.096,3090.638,45.371,349.935,C#CCCC at 298K
12,CCC#CCCCCCC,138.25400000000005,284.668,220.769,461.328,644.034,23.5711,560.24,0.79,233.547,22.279,53.84,22.571,0.175,6153.849,44.511,343.897,CCC#CCCCCCC at 298K
13,c1ccccc1,78.11399999999996,262.308,191.998,362.636,566.36,48.8857,286.13,0.93,128.046,79.927,35.018,7.365,0.084,3178.477,40.69,340.061,c1ccccc1 at 298K
14,c1ccc2ccccc2c1,128.17399999999995,353.145,296.035,510.61,738.167,39.3597,450.52,0.964,225.993,163.895,58.199,13.698,0.133,5086.315,39.683,339.025,c1ccc2ccccc2c1 at 298K
15,c1ccc2c(c1)CCC2,118.17899999999993,279.869,274.332,465.114,711.358,39.5576,348.36,1.074,174.37,45.011,46.468,10.544,0.11,4813.751,40.733,338.521,c1ccc2c(c1)CCC2 at 298K
16,O=C(c1ccccc1)c1ccccc1,182.22200000000007,439.977,322.732,574.822,815.883,32.705,542.4,1.191,164.832,59.0,80.615,17.633,0.153,,,,O=C(c1ccccc1)c1ccccc1 at 298K
17,c1ccncc1,79.10199999999998,293.131,236.929,379.694,608.095,56.7546,264.67,1.027,193.011,134.783,42.723,10.466,0.077,,,,c1ccncc1 at 298K
18,Cc1ccccc1,92.14099999999995,286.978,209.309,390.402,597.397,42.3273,340.77,0.895,124.12,47.33,37.914,9.015,0.103,3783.22,41.059,339.39,Cc1ccccc1 at 298K
19,CCc1ccccc1,106.16799999999994,301.399,189.374,414.654,628.358,36.9168,382.33,0.892,131.65,28.343,41.529,9.441,0.119,4401.573,41.459,339.433,CCc1ccccc1 at 298K
20,CC(C)c1ccccc1,120.19499999999992,311.497,203.471,424.638,638.021,33.6583,441.21,0.871,136.522,0.179,45.129,9.778,0.138,5010.749,41.688,339.15,CC(C)c1ccccc1 at 298K
21,CC(C)(C)c1ccccc1,134.222,333.235,214.325,438.387,658.899,29.2072,488.39,0.866,147.943,-23.072,47.701,9.421,0.155,5624.838,41.907,339.082,CC(C)(C)c1ccccc1 at 298K
22,C=Cc1ccccc1,104.15199999999994,304.522,216.095,419.607,638.778,39.1633,351.51,0.922,214.119,145.145,30.92,10.94,0.113,4276.545,41.061,341.608,C=Cc1ccccc1 at 298K
23,C/C=C\c1ccccc1,118.17899999999993,320.084,255.209,456.682,679.273,32.7423,405.32,0.923,210.331,115.31,38.249,12.303,0.128,4884.05,41.328,340.985,C/C=C\c1ccccc1 at 298K
24,C=C(C)c1ccccc1,118.17899999999993,313.147,231.662,438.529,654.448,33.3103,398.93,0.916,217.02,118.3,38.249,11.917,0.129,4887.04,41.353,341.088,C=C(C)c1ccccc1 at 298K
25,C#Cc1ccccc1,102.13599999999995,304.145,228.236,416.143,650.004,42.7147,331.96,0.955,362.148,327.3,30.92,9.43,0.107,4216.87,41.287,346.656,C#Cc1ccccc1 at 298K
26,CC#Cc1ccccc1,116.16299999999994,276.684,317.936,463.369,543.461,45.3987,304.86,0.848,87.688,-3.439,32.534,7.063,0.137,4523.471,38.941,334.409,CC#Cc1ccccc1 at 298K
27,OCCCCO,90.12199999999994,401.434,286.535,469.5,662.351,51.3651,286.84,1.06,-282.564,-425.016,78.349,17.243,0.085,,,,OCCCCO at 298K
28,Oc1ccccc1,94.11299999999996,345.453,305.31,447.107,682.797,60.613,281.55,1.057,-32.587,-98.67,66.576,15.04,0.089,,,,Oc1ccccc1 at 298K
29,O=C(O)CCCC(=O)O,132.115,400.912,400.602,538.074,785.862,35.4406,384.15,1.308,-744.187,-900.198,57.248,18.414,0.101,,,,O=C(O)CCCC(=O)O at 298K
30,O=C(O)c1ccccc1,122.12299999999995,395.737,415.486,506.638,737.777,41.5146,354.5,0.985,-239.989,-326.958,31.99,25.771,0.124,,,,O=C(O)c1ccccc1 at 298K
31,CCC(C)=O,72.10699999999996,271.086,204.419,348.485,532.087,42.6035,260.01,0.819,-147.1,-239.496,31.766,9.125,0.088,,,,CCC(C)=O at 298K
32,CCC(=O)CC,86.13399999999996,291.377,221.969,362.017,551.023,37.5057,321.7,0.82,-138.252,-259.426,35.201,11.972,0.105,,,,CCC(=O)CC at 298K
33,CC(C)C(=O)C(C)C,114.18799999999992,264.682,210.163,387.695,575.432,29.7499,415.96,0.816,-132.446,-311.4,38.301,11.269,0.14,,,,CC(C)C(=O)C(C)C at 298K
34,CC(C)(C)C(=O)C(C)(C)C,142.2420000000001,292.73,255.933,420.215,458.249,28.4055,434.49,0.745,-57.444,-332.423,42.586,5.511,0.191,,,,CC(C)(C)C(=O)C(C)(C)C at 298K
35,CC(=O)c1ccccc1,120.15099999999994,350.059,267.745,470.666,710.174,38.1088,385.88,1.027,7.861,-89.37,55.383,11.355,0.117,,,,CC(=O)c1ccccc1 at 298K
36,CCCCCC=O,100.16099999999993,301.288,227.462,409.889,592.971,34.4917,364.61,0.842,-99.429,-248.451,44.05,20.15,0.119,,,,CCCCCC=O at 298K
37,O=Cc1ccccc1,106.12399999999995,335.145,265.717,451.983,688.556,43.1641,339.76,1.166,18.858,-38.735,30.92,14.409,0.091,,,,O=Cc1ccccc1 at 298K
38,CCCCOC(C)=O,116.15999999999993,298.85,201.035,407.111,580.766,31.1923,394.5,0.907,-310.79,-483.589,46.616,14.477,0.128,,,,CCCCOC(C)=O at 298K
39,CCCC(=O)OC,102.13299999999994,274.062,169.108,370.337,555.344,35.525,334.32,0.904,-319.486,-463.441,39.475,12.037,0.113,,,,CCCC(=O)OC at 298K
40,CCOC(=O)C(C)C,116.15999999999993,295.782,188.313,386.33,562.104,30.9504,394.21,0.887,-319.973,-494.87,41.743,14.254,0.131,,,,CCOC(=O)C(C)C at 298K
41,CCOC(=O)C(C)(C)C,130.18699999999995,284.225,187.127,388.522,365.346,35.4827,332.84,0.862,-69.72,-277.009,41.355,6.913,0.151,,,,CCOC(=O)C(C)(C)C at 298K
42,CCCOC=O,88.10599999999997,272.803,185.847,357.206,540.203,42.2175,283.1,0.927,-293.485,-407.255,37.139,12.497,0.095,,,,CCCOC=O at 298K
43,COC(=O)c1ccccc1,136.15000000000006,331.627,245.538,465.874,673.249,36.4732,393.5,1.072,-188.726,-286.3,55.553,12.228,0.127,,,,COC(=O)c1ccccc1 at 298K
44,O=COc1ccccc1,122.12299999999995,243.593,165.726,318.006,533.237,52.1834,240.88,1.696,108.122,80.6,30.92,5.921,0.072,,,,O=COc1ccccc1 at 298K
45,CC(=O)Oc1ccccc1,136.15000000000006,276.684,291.379,463.298,685.704,35.6521,435.93,1.125,87.688,-3.439,32.534,14.479,0.121,,,,CC(=O)Oc1ccccc1 at 298K
46,C=CC(=O)OCC,100.11699999999996,294.044,193.928,376.807,550.661,38.6307,324.06,0.927,-239.817,-344.745,33.22,13.44,0.108,,,,C=CC(=O)OCC at 298K
47,CCCCOC,88.14999999999993,270.589,167.742,353.602,516.101,35.0233,331.91,0.773,-100.164,-257.393,33.906,12.255,0.114,,,,CCCCOC at 298K
48,CCCCOCCCC,130.23099999999994,306.076,187.28,426.416,590.344,24.7546,501.65,0.785,-93.066,-335.094,46.489,18.703,0.166,,,,CCCCOCCCC at 298K
49,CCC(C)OC(C)CC,130.23099999999994,267.784,158.744,396.481,556.801,22.1556,485.89,0.766,-106.897,-354.833,42.543,13.466,0.17,,,,CCC(C)OC(C)CC at 298K
50,CC(C)(C)OC(C)(C)C,130.23099999999994,292.73,186.496,375.396,543.757,23.2326,486.93,0.775,-94.994,-362.0,37.322,8.466,0.168,,,,CC(C)(C)OC(C)(C)C at 298K
51,COc1ccccc1,108.13999999999994,279.015,238.592,427.562,635.258,41.196,336.32,1.03,17.665,-69.275,46.561,8.341,0.105,,,,COc1ccccc1 at 298K
52,CCN,45.085000000000015,241.733,203.478,283.638,479.598,57.184,195.52,0.727,35.113,-49.271,26.147,12.245,0.062,,,,CCN at 298K
53,CCC(C)N,73.13899999999995,245.901,524.565,330.552,513.241,40.0589,270.96,0.746,40.85,-102.089,33.033,8.724,0.098,,,,CCC(C)N at 298K
54,CC(C)(C)N,73.13899999999995,239.724,376.725,320.113,479.428,38.1088,292.96,0.71,28.402,-119.87,29.622,3.12,0.103,,,,CC(C)(C)N at 298K
55,CNC,45.085000000000015,238.109,180.31,261.287,446.715,50.3512,173.05,0.704,72.807,-16.084,25.454,3.061,0.064,,,,CNC at 298K
56,CCCNCCC,101.19299999999993,273.654,214.754,386.345,564.133,29.1444,410.59,0.755,85.225,-117.488,40.42,16.658,0.134,,,,CCCNCCC at 298K
57,CC(C)NC(C)C,101.19299999999993,266.151,201.801,355.62,522.341,31.5781,417.96,0.733,57.454,-150.0,34.588,6.619,0.138,,,,CC(C)NC(C)C at 298K
58,CCN(C)CC,87.16599999999993,287.595,156.003,339.264,516.867,32.7423,346.91,0.726,105.94,-69.57,36.556,11.895,0.12,,,,CCN(C)CC at 298K
59,CCN(CC)CC,101.19299999999991,258.151,129.201,354.408,522.171,25.8715,402.44,0.744,104.987,-105.879,33.278,9.711,0.136,,,,CCN(CC)CC at 298K
60,Nc1ccccc1,93.12899999999995,361.832,290.283,459.309,698.632,50.7098,309.33,0.95,166.42,84.266,52.601,11.973,0.098,,,,Nc1ccccc1 at 298K
61,CNc1ccccc1,107.15599999999993,331.329,257.936,457.62,699.326,47.0293,378.37,0.992,198.434,98.808,48.282,9.533,0.108,,,,CNc1ccccc1 at 298K
62,CN(C)c1ccccc1,121.18299999999992,335.663,262.105,461.101,669.392,35.8654,464.89,0.872,247.115,82.64,52.803,11.438,0.139,,,,CN(C)c1ccccc1 at 298K
63,NC1CCC1,71.12299999999996,268.227,237.479,350.645,563.709,50.3512,256.37,0.9,64.825,-46.358,36.32,9.478,0.079,,,,NC1CCC1 at 298K
64,C/C=N/N=C/C,84.12199999999996,216.204,431.946,343.199,141.55,54.5174,142.59,1.402,-32.367,-84.112,13.661,0.985,0.06,,,,C/C=N/N=C/C at 298K
65,CC(C)=NN=C(C)C,112.17599999999993,282.385,252.406,406.149,267.476,41.408,270.56,1.039,-73.236,-252.19,16.889,3.269,0.108,,,,CC(C)=NN=C(C)C at 298K
66,CCC#N,55.08000000000001,281.425,178.334,367.233,599.604,43.6206,226.08,0.81,101.013,53.594,33.948,6.613,0.068,,,,CCC#N at 298K
67,CC(C)C#N,69.10699999999997,216.223,176.885,373.929,572.425,37.8287,277.98,0.794,103.801,25.39,37.12,10.672,0.087,,,,CC(C)C#N at 298K
68,CC(C)(C)C#N,83.13399999999996,283.029,231.324,370.019,552.426,31.9712,329.52,0.763,93.095,-45.044,37.331,7.286,0.109,,,,CC(C)(C)C#N at 298K
69,N#Cc1ccccc1,103.12399999999995,243.593,305.287,467.667,703.368,42.1082,338.96,1.011,261.118,232.432,30.92,10.86,0.102,,,,N#Cc1ccccc1 at 298K
70,C=CC#N,53.06400000000001,273.149,216.667,346.947,537.37,47.4834,217.71,0.842,182.911,188.808,34.244,5.003,0.063,,,,C=CC#N at 298K
71,CCN=C=O,71.07899999999997,183.113,0.0,327.257,15.623,63.543,78.6,0.935,-11.933,-0.073,12.047,-0.157,0.076,,,,CCN=C=O at 298K
72,CC(C)N=C=O,85.10599999999997,216.223,73.482,347.652,138.431,54.1176,149.46,1.373,-33.354,-86.947,13.428,2.473,0.062,,,,CC(C)N=C=O at 298K
73,CC(C)(C)N=C=O,99.13299999999995,239.724,358.657,253.034,194.716,45.7674,212.02,1.127,-57.473,-172.32,16.755,3.12,0.088,,,,CC(C)(C)N=C=O at 298K
74,O=C=Nc1ccccc1,119.12299999999995,243.593,252.236,440.464,650.712,40.3132,375.7,1.135,116.248,51.4,30.92,5.921,0.105,,,,O=C=Nc1ccccc1 at 298K
75,CCC[N+](=O)[O-],89.09399999999997,310.855,194.329,404.63,610.949,44.3781,290.43,1.036,-3.745,-123.314,46.394,12.534,0.086,,,,CCC[N+](=O)[O-] at 298K
76,CC(C)[N+](=O)[O-],89.09399999999997,297.15,133.132,382.548,593.741,44.4963,288.0,1.024,-12.822,-133.166,41.33,2.473,0.087,,,,CC(C)[N+](=O)[O-] at 298K
77,CC(C)(C)[N+](=O)[O-],103.12099999999995,239.724,309.772,391.131,194.716,45.7674,212.02,0.742,-57.473,-176.565,-22.362,-0.656,0.139,,,,CC(C)(C)[N+](=O)[O-] at 298K
78,O=[N+]([O-])c1ccccc1,123.11099999999996,363.958,293.879,481.089,719.704,44.026,362.32,1.195,151.904,49.391,55.004,14.314,0.103,,,,O=[N+]([O-])c1ccccc1 at 298K
79,O=[N+]([O-])C1CCCCC1,129.15899999999996,372.454,243.182,461.971,700.535,41.1433,297.14,1.113,53.133,-128.794,59.984,9.949,0.116,,,,O=[N+]([O-])C1CCCCC1 at 298K
80,CCCCON=O,103.12099999999995,217.345,71.75,362.056,443.252,41.2489,249.09,1.199,12.63,-62.025,26.451,7.798,0.086,,,,CCCCON=O at 298K
81,CCCCO[N+](=O)[O-],119.11999999999995,217.345,206.669,413.337,443.252,41.2489,249.09,1.045,12.63,-195.922,26.451,16.279,0.114,,,,CCCCO[N+](=O)[O-] at 298K
82,CCN(C=O)CC,101.14899999999993,216.204,59.479,450.651,141.55,54.5174,142.59,1.686,-32.367,-84.112,50.313,0.985,0.06,,,,CCN(C=O)CC at 298K
83,CCNC=O,73.09499999999996,183.113,0.0,471.149,15.623,63.543,78.6,2.03,-11.933,-0.073,58.443,-0.157,0.036,,,,CCNC=O at 298K
84,CCCC(N)=O,87.12199999999996,205.934,372.136,488.813,779.134,48.7495,328.69,1.037,-142.812,-278.072,21.65,21.046,0.084,,,,CCCC(N)=O at 298K
85,CNC(C)=O,73.09499999999996,183.113,287.406,400.799,718.002,49.9963,267.03,0.988,-134.588,-240.0,60.037,16.332,0.074,,,,CNC(C)=O at 298K
86,CCNC(C)=O,87.12199999999994,216.204,265.694,471.656,141.55,54.5174,142.59,1.452,-32.367,-263.379,65.076,0.985,0.06,,,,CCNC(C)=O at 298K
87,CC(=O)N(C)C,87.12199999999996,336.15,215.86,425.04,657.998,40.5699,321.03,0.979,-88.088,-225.0,50.243,10.442,0.089,,,,CC(=O)N(C)C at 298K
88,CCN(C)C(C)=O,101.14899999999993,216.204,170.271,149.742,141.55,54.5174,142.59,1.686,-32.367,-84.112,13.661,0.985,0.06,,,,CCN(C)C(C)=O at 298K
89,CCN(CC)C(C)=O,115.17599999999992,249.294,215.276,444.584,215.212,47.288,206.57,1.371,-52.802,-168.151,54.093,2.127,0.084,,,,CCN(CC)C(C)=O at 298K
90,CC(=O)NC(C)=O,101.10499999999996,216.204,342.683,496.652,141.55,54.5174,142.59,1.685,-32.367,-84.112,13.661,0.985,0.06,,,,CC(=O)NC(C)=O at 298K
91,CC(=O)N(C)C(C)=O,115.13199999999995,249.294,248.164,468.152,215.212,47.288,206.57,1.371,-52.802,-168.151,49.135,2.127,0.084,,,,CC(=O)N(C)C(C)=O at 298K
92,NC(=O)c1ccccc1,121.13899999999995,243.593,416.471,563.145,533.237,52.1834,240.88,1.132,108.122,-96.32,30.92,23.75,0.107,,,,NC(=O)c1ccccc1 at 298K
93,O=CNc1ccccc1,121.13899999999994,243.593,328.3,546.718,787.004,41.0907,381.96,1.122,54.348,-55.2,30.92,15.59,0.108,,,,O=CNc1ccccc1 at 298K
94,CN(C=O)c1ccccc1,135.16600000000005,276.684,289.804,519.075,543.461,45.3987,304.86,1.408,87.688,-3.439,32.534,7.063,0.096,,,,CN(C=O)c1ccccc1 at 298K
95,CNC(=O)c1ccccc1,135.16600000000005,276.684,357.331,564.146,543.461,45.3987,304.86,1.408,87.688,-3.439,32.534,23.228,0.096,,,,CNC(=O)c1ccccc1 at 298K
96,CC(=O)Nc1ccccc1C,149.1930000000001,368.701,371.431,573.963,574.034,38.1558,372.34,1.066,86.526,-32.976,37.104,10.504,0.14,,,,CC(=O)Nc1ccccc1C at 298K
97,CC(=O)N(C)c1ccccc1,149.1930000000001,309.775,349.377,417.73,553.141,39.8573,368.85,1.243,67.253,-87.478,34.148,8.205,0.12,,,,CC(=O)N(C)c1ccccc1 at 298K
98,CNC(=O)NC,88.10999999999996,216.204,348.5,149.742,141.55,54.5174,142.59,1.468,-32.367,-84.112,13.661,10.39,0.06,,,,CNC(=O)NC at 298K
99,CNC(N)=O,74.08299999999997,183.113,390.143,0.0,15.623,63.543,78.6,2.058,-11.933,-0.073,12.047,13.512,0.036,,,,CNC(N)=O at 298K
100,CN(C)C(N)=O,88.10999999999996,216.204,371.539,149.742,141.55,54.5174,142.59,1.468,-32.367,-84.112,13.661,11.505,0.06,,,,CN(C)C(N)=O at 298K
101,CNC(=O)N(C)C,102.13699999999994,249.294,334.723,505.651,215.212,47.288,206.57,1.216,-52.802,-168.151,15.275,14.351,0.084,,,,CNC(=O)N(C)C at 298K
102,CN(C)C(=O)N(C)C,116.16399999999993,282.385,271.968,449.651,267.476,41.408,270.56,1.076,-73.236,-205.57,16.889,13.49,0.108,,,,CN(C)C(=O)N(C)C at 298K
103,NC(=O)Nc1ccccc1,136.15400000000005,243.593,445.201,511.145,533.237,52.1834,240.88,1.891,108.122,80.6,30.92,23.64,0.072,,,,NC(=O)Nc1ccccc1 at 298K
104,O=C(Nc1ccccc1)Nc1ccccc1,212.25200000000007,366.602,504.49,535.14,739.974,38.4397,490.55,1.527,244.343,126.719,57.766,34.58,0.139,,,,O=C(Nc1ccccc1)Nc1ccccc1 at 298K
105,CC(=O)NCl,93.51299999999998,216.454,263.745,201.523,335.862,59.8659,135.3,1.732,-66.396,-88.672,63.629,4.358,0.054,,,,CC(=O)NCl at 298K
106,CCCCCl,92.56899999999996,267.417,171.823,358.839,544.068,39.4585,300.54,0.917,-40.7,-151.422,34.11,9.176,0.101,,,,CCCCCl at 298K
107,CC(C)Cl,78.54199999999997,247.964,147.938,298.325,475.973,44.6151,250.23,0.882,-62.145,-146.53,24.3,2.473,0.089,,,,CC(C)Cl at 298K
108,CC(C)(C)Cl,92.56899999999996,239.724,180.574,315.785,451.279,38.6786,299.96,0.865,-64.648,-184.77,24.9,2.186,0.107,,,,CC(C)(C)Cl at 298K
109,CC(Cl)Cl,98.95999999999998,271.945,169.793,318.119,525.232,47.8778,235.15,1.222,-61.577,-120.368,29.33,6.1,0.081,,,,CC(Cl)Cl at 298K
110,CC(C)(Cl)Cl,112.98699999999998,216.204,224.768,337.772,141.55,54.5174,142.59,1.883,-32.367,-84.112,32.633,2.382,0.06,,,,CC(C)(Cl)Cl at 298K
111,CC(Cl)(Cl)Cl,133.40500000000003,183.113,233.173,341.027,544.996,43.2208,281.03,1.361,-75.798,-142.3,29.997,2.383,0.098,,,,CC(Cl)(Cl)Cl at 298K
112,CCCCF,76.11399999999996,205.934,158.998,313.096,488.324,40.2112,277.69,0.81,-195.512,-305.701,30.449,11.336,0.094,,,,CCCCF at 298K
113,CCC(C)F,76.11399999999996,227.614,67.6,216.498,434.061,71.0258,199.42,0.793,-24.18,-104.763,18.462,3.636,0.096,,,,CCC(C)F at 298K
114,CC(C)(C)F,76.11399999999996,239.724,110.804,253.034,194.716,45.7674,212.02,0.865,-57.473,-172.32,16.755,3.12,0.088,,,,CC(C)(C)F at 298K
115,CC(F)F,66.05,183.113,141.537,230.657,362.172,47.2231,167.12,0.93,-442.888,-500.8,21.462,5.903,0.071,,,,CC(F)F at 298K
116,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,338.03799999999995,150.022,189.119,328.091,447.032,18.7113,601.06,1.725,-1252.667,-1333.359,30.176,4.124,0.196,,,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F at 298K
117,FC(F)(F)C(F)(F)F,138.01000000000002,150.022,120.62,195.64,151.397,26.8705,223.76,1.453,-1252.667,-1333.359,14.168,4.124,0.095,,,,FC(F)(F)C(F)(F)F at 298K
118,FC(Cl)(Cl)C(F)(Cl)Cl,203.83,150.022,273.507,360.299,530.704,40.0589,349.41,1.618,-535.897,-598.159,25.665,3.809,0.126,,,,FC(Cl)(Cl)C(F)(Cl)Cl at 298K
119,FC(Cl)C(F)(F)F,136.47500000000002,150.022,124.395,263.065,25.47,42.0537,119.19,1.467,-622.083,-624.696,23.169,1.413,0.093,,,,FC(Cl)C(F)(F)F at 298K
120,FC(F)(Cl)C(F)(F)Cl,170.92000000000002,150.022,184.66,270.181,430.013,29.9451,300.66,1.401,-824.858,-920.422,30.622,1.129,0.122,,,,FC(F)(Cl)C(F)(F)Cl at 298K
121,Clc1ccccc1,112.55899999999995,308.782,236.164,409.659,649.485,45.0345,317.59,1.149,99.324,53.161,41.104,11.325,0.098,,,,Clc1ccccc1 at 298K
122,Fc1c(F)c(F)c(F)c(F)c1F,186.05399999999997,150.022,246.424,345.275,516.943,32.7423,330.9,1.646,-1052.92,-956.0,36.29,9.759,0.113,,,,Fc1c(F)c(F)c(F)c(F)c1F at 298K
123,Ic1ccccc1,204.01000000000002,243.593,253.378,462.301,721.153,45.0949,350.96,1.889,190.448,164.9,30.92,9.73,0.108,,,,Ic1ccccc1 at 298K
124,Brc1ccccc1,157.01000000000002,324.256,253.261,434.696,652.493,47.68,317.75,1.539,142.054,108.783,44.534,12.558,0.102,,,,Brc1ccccc1 at 298K
125,CCI,155.96600000000004,194.523,178.526,348.479,562.429,53.2535,236.1,2.026,29.817,-0.727,31.212,7.844,0.077,,,,CCI at 298K
126,CCBr,108.96599999999997,267.376,162.739,308.606,506.729,58.2347,209.63,1.473,-19.966,-62.201,26.656,5.611,0.074,,,,CCBr at 298K
127,FCc1ccccc1,110.13099999999994,299.81,210.548,415.606,661.129,34.7764,326.34,1.02,-59.461,-181.919,36.566,13.628,0.108,,,,FCc1ccccc1 at 298K
128,CCOC(=O)CCl,122.55099999999996,274.312,195.903,392.701,587.896,38.2974,327.03,1.145,-353.514,-468.0,43.879,15.41,0.107,,,,CCOC(=O)CCl at 298K
129,CC/C=N\O,73.09499999999997,194.523,235.55,405.809,275.267,54.4371,135.43,0.975,-3.745,-20.724,16.848,2.494,0.075,,,,CC/C=N\O at 298K
130,CC(C)=NO,73.09499999999997,216.204,248.447,391.725,141.55,54.5174,142.59,1.218,-32.367,-84.112,13.661,0.985,0.06,,,,CC(C)=NO at 298K
